"filename", "language", "XML", "CSS", "TypeScript", "TypeScript JSX", "JSON with Comments", "Dotenv", "JSON", "Markdown", "HTML", "JavaScript", "comment", "blank", "total"
"/Users/omarragab/Projects/zalameh_dashboard_app/src/features/categories/components/CategoryTable.tsx", "TypeScript JSX", 0, 0, 0, 448, 0, 0, 0, 0, 0, 0, 25, 44, 517
"/Users/omarragab/Projects/zalameh_dashboard_app/src/features/categories/components/DeleteConfirmModal.tsx", "TypeScript JSX", 0, 0, 0, 64, 0, 0, 0, 0, 0, 0, 4, 6, 74
"/Users/omarragab/Projects/zalameh_dashboard_app/src/features/categories/components/ImageCropModal.tsx", "TypeScript JSX", 0, 0, 0, 277, 0, 0, 0, 0, 0, 0, 7, 29, 313
"/Users/omarragab/Projects/zalameh_dashboard_app/src/features/categories/components/SubCategoryDetailModal.tsx", "TypeScript JSX", 0, 0, 0, 136, 0, 0, 0, 0, 0, 0, 11, 13, 160
"/Users/omarragab/Projects/zalameh_dashboard_app/src/features/categories/data/api/categoryApiService.ts", "TypeScript", 0, 0, 776, 0, 0, 0, 0, 0, 0, 0, 3, 98, 877
"/Users/omarragab/Projects/zalameh_dashboard_app/src/features/categories/data/mockCategories.ts", "TypeScript", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 2, 5
"/Users/omarragab/Projects/zalameh_dashboard_app/src/features/categories/data/repositories/categoryRepositoryImpl.ts", "TypeScript", 0, 0, 80, 0, 0, 0, 0, 0, 0, 0, 0, 15, 95
"/Users/omarragab/Projects/zalameh_dashboard_app/src/features/categories/domain/entities/category.entity.ts", "TypeScript", 0, 0, 80, 0, 0, 0, 0, 0, 0, 0, 0, 10, 90
"/Users/omarragab/Projects/zalameh_dashboard_app/src/features/categories/domain/repositories/category.repository.ts", "TypeScript", 0, 0, 73, 0, 0, 0, 0, 0, 0, 0, 0, 13, 86
"/Users/omarragab/Projects/zalameh_dashboard_app/src/features/categories/pages/CategoriesPage.tsx", "TypeScript JSX", 0, 0, 0, 366, 0, 0, 0, 0, 0, 0, 28, 33, 427
"/Users/omarragab/Projects/zalameh_dashboard_app/src/features/categories/presentation/hooks/useCategories.ts", "TypeScript", 0, 0, 250, 0, 0, 0, 0, 0, 0, 0, 4, 26, 280
"/Users/omarragab/Projects/zalameh_dashboard_app/src/features/categories/types/category.types.ts", "TypeScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/omarragab/Projects/zalameh_dashboard_app/src/features/content/components/EditPageForm.tsx", "TypeScript JSX", 0, 0, 0, 224, 0, 0, 0, 0, 0, 0, 16, 23, 263
"/Users/omarragab/Projects/zalameh_dashboard_app/src/features/content/components/StaticPagesList.tsx", "TypeScript JSX", 0, 0, 0, 99, 0, 0, 0, 0, 0, 0, 7, 7, 113
"/Users/omarragab/Projects/zalameh_dashboard_app/src/features/content/components/ViewPageDetails.tsx", "TypeScript JSX", 0, 0, 0, 104, 0, 0, 0, 0, 0, 0, 10, 10, 124
"/Users/omarragab/Projects/zalameh_dashboard_app/src/features/content/data/mockContent.ts", "TypeScript", 0, 0, 89, 0, 0, 0, 0, 0, 0, 0, 0, 14, 103
"/Users/omarragab/Projects/zalameh_dashboard_app/src/features/content/pages/ContentManagementPage.tsx", "TypeScript JSX", 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 6, 9, 69
"/Users/omarragab/Projects/zalameh_dashboard_app/src/features/content/types/content.types.ts", "TypeScript", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
