"filename", "language", "TypeScript", "TypeScript JSX", "JSON", "JavaScript", "XML", "comment", "blank", "total"
"/Users/omarragab/Projects/zalameh_dashboard_app/src/features/packages/components/AddEditPackageModal.tsx", "TypeScript JSX", 0, 2, 0, 0, 0, 0, 0, 2
"/Users/omarragab/Projects/zalameh_dashboard_app/src/features/partners/components/AddEditBranchModal.tsx", "TypeScript JSX", 0, 38, 0, 0, 0, 1, 1, 40
"/Users/omarragab/Projects/zalameh_dashboard_app/src/features/partners/components/AddEditJobModal.tsx", "TypeScript JSX", 0, 269, 0, 0, 0, 13, 29, 311
"/Users/omarragab/Projects/zalameh_dashboard_app/src/features/partners/components/AddEditMenuItemModal.tsx", "TypeScript JSX", 0, 257, 0, 0, 0, 13, 19, 289
"/Users/omarragab/Projects/zalameh_dashboard_app/src/features/partners/components/AddEditPartnerModal.tsx", "TypeScript JSX", 0, -1, 0, 0, 0, -1, 0, -2
"/Users/omarragab/Projects/zalameh_dashboard_app/src/features/partners/components/BrandDetailView.tsx", "TypeScript JSX", 0, 292, 0, 0, 0, 9, 15, 316
"/Users/omarragab/Projects/zalameh_dashboard_app/src/features/partners/components/PartnerBrandsView.tsx", "TypeScript JSX", 0, 10, 0, 0, 0, 2, 1, 13
"/Users/omarragab/Projects/zalameh_dashboard_app/src/features/partners/components/PartnerSocialLinks.tsx", "TypeScript JSX", 0, -8, 0, 0, 0, 1, 0, -7
"/Users/omarragab/Projects/zalameh_dashboard_app/src/features/partners/components/PartnersTable.tsx", "TypeScript JSX", 0, 8, 0, 0, 0, 0, 0, 8
"/Users/omarragab/Projects/zalameh_dashboard_app/src/features/partners/data/api/partnerApiService.ts", "TypeScript", 297, 0, 0, 0, 0, 0, 47, 344
"/Users/omarragab/Projects/zalameh_dashboard_app/src/features/partners/data/mockPartners.ts", "TypeScript", -159, 0, 0, 0, 0, 0, 0, -159
"/Users/omarragab/Projects/zalameh_dashboard_app/src/features/partners/data/repositories/partnerRepositoryImpl.ts", "TypeScript", 66, 0, 0, 0, 0, 0, 12, 78
"/Users/omarragab/Projects/zalameh_dashboard_app/src/features/partners/domain/entities/partner.entity.ts", "TypeScript", 215, 0, 0, 0, 0, 0, 27, 242
"/Users/omarragab/Projects/zalameh_dashboard_app/src/features/partners/domain/repositories/partner.repository.ts", "TypeScript", 48, 0, 0, 0, 0, 0, 9, 57
"/Users/omarragab/Projects/zalameh_dashboard_app/src/features/partners/pages/PartnersPage.tsx", "TypeScript JSX", 0, 202, 0, 0, 0, 4, 21, 227
"/Users/omarragab/Projects/zalameh_dashboard_app/src/features/partners/presentation/hooks/usePartners.ts", "TypeScript", 131, 0, 0, 0, 0, 4, 20, 155
"/Users/omarragab/Projects/zalameh_dashboard_app/src/features/partners/types/partner.types.ts", "TypeScript", -138, 0, 0, 0, 0, 0, -18, -156
"/Users/omarragab/Projects/zalameh_dashboard_app/src/main.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 1, 1
"/Users/omarragab/Projects/zalameh_dashboard_app/tests/categories.integration.test.mjs", "JavaScript", 0, 0, 0, 703, 0, 0, 77, 780
"/Users/omarragab/Projects/zalameh_dashboard_app/vercel.json", "JSON", 0, 0, 16, 0, 0, 0, 1, 17
"/Users/omarragab/Projects/zalameh_dashboard_app/vite.config.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 0, 9
"Total", "-", 1777, 5242, 84, 703, 1283, 287, 786, 10162
