"filename", "language", "CSS", "XML", "TypeScript JSX", "TypeScript", "JSON with Comments", "JSON", "Dotenv", "Markdown", "HTML", "comment", "blank", "total"
"/Users/omarragab/Projects/zalameh_dashboard_app/src/features/profile/components/ProfileHeroCard.tsx", "TypeScript JSX", 0, 0, 49, 0, 0, 0, 0, 0, 0, 2, 5, 56
"/Users/omarragab/Projects/zalameh_dashboard_app/src/features/profile/pages/ProfilePage.tsx", "TypeScript JSX", 0, 0, 13, 0, 0, 0, 0, 0, 0, 3, 4, 20
"/Users/omarragab/Projects/zalameh_dashboard_app/src/features/settings/pages/SettingsPage.tsx", "TypeScript JSX", 0, 0, 107, 0, 0, 0, 0, 0, 0, 4, 5, 116
"/Users/omarragab/Projects/zalameh_dashboard_app/src/index.css", "CSS", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"/Users/omarragab/Projects/zalameh_dashboard_app/src/main.tsx", "TypeScript JSX", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 2, 11
"/Users/omarragab/Projects/zalameh_dashboard_app/tsconfig.app.json", "JSON", 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 3, 27
"/Users/omarragab/Projects/zalameh_dashboard_app/tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 1, 8
"/Users/omarragab/Projects/zalameh_dashboard_app/tsconfig.node.json", "JSON", 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 3, 24
"/Users/omarragab/Projects/zalameh_dashboard_app/vite.config.ts", "TypeScript", 0, 0, 0, 6, 0, 0, 0, 0, 0, 1, 3, 10
"Total", "-", 7, 27, 10009, 1030, 7, 2092, 1, 23, 18, 465, 897, 14576
